"idnum","pais","nationality","estratopri","estratosec","strata","prov","municipio","upm","ur","cluster","year","wave","wt","q1tc_r","q2","a4n","soct2","idio2","mesfut1","sgl1","cp8","cp13","it1","l1n","jc10","jc13","jc15a","jc16a","vic1ext","aoj11","aoj12","countfair1","countfair3","chm1bn","chm2bn","b0","b1","b2","b3","b4","b6","b12","b13","b18","b20","b21","b21a","b31","b32","b37","b47a","m1","sd2new2","sd3new2","sd6new2","sd5new2","pop101","pop107","ros4","ing4","eff1","eff2","vb21n","crg1","crg2","drr1n","env1c","env2b","anestg","pn4","e5","e17a","e17b","d3","d4","d5","d6","d5newa","d7a","d5newb","d7b","arn1","exc2","exc6","exc7","exc7new","lib2c","immig1xa","immig1xb","immig1xc","comcon3xa","comcon3xb","comcon3xc","vb2","vb3n","vb10","vb11","pol1","cv5","vb20","pra4n","pra5","pra16_1","pra16_2","pra16_3","pra16_4","pra16_5","pra16_6","pra16_7","pra16_8","pra16_9","pra16_77","pra11a","pra11b","pra11c","pra17a","pra17b","pra17c","pra18a","pra18b","pra18c","pra19a","pra19b","pra8n","pra15_1","pra15_2","pra15_3","pra15_4","pra15_5","pra15_6","pra15_7","pra15_8","pra15_9","vb50","vb51","vb52","vb58","vb58exp","w14a","dvw1","dvw2","mil10a","mil10b","mil10e","dis11","dis12","gidd1","gidd2","childm6","childm7","childm8","childm9","childm10","childm11","childm12","childm13","wf1","cct1b","edre","q3cn","q5b","ocup4a","ocupoit","formal","q10c","q10a","q10b","q10inc","q14","q14dnew","q14f","q14motan","q14pan_1","q14pan_2","q14pan_3","q14pan_4","q14pan_5","q14pan_0","q14pan_7","q14docn","q14int1","fs2","fs212","ws1","ws2","q11n","q12cn","q12bn","q12bnf","q12p","etid","gi0n","smedia1n","smedia3n","smedia3b","smedia11","smedia12","smedia13","smedia14n","smedia15","smedia16","r3","r4a","r6","r7","r12","r15","r18n","r18","r16","r27","colorr","noise1","conocim","sexin","colori","fecha","formatq","idiomaq"
3075,17,17,1704,1,1704,1766,1766028,82,1,203,2023,2023,1,2,19,1,3,3,3,3,4,4,3,10,,1,1,,1,4,3,1,3,1,,3,5,7,6,5,4,6,5,4,6,1,1,3,3,1,3,4,3,2,2,2,4,4,7,4,2,2,1,1,1,2,1,3,4,3,10,,10,1,1,10,10,,,10,10,,0,0,1,5,2,,5,,,3,,1,1702,2,,3,2,3,2,,1,0,0,0,0,0,0,0,0,0,,,,,,,2,2,2,,,2,0,0,1,0,0,0,0,0,0,3,3,,,1,1,3,3,2,4,4,4,4,8,,2,3,,,1,1,,,2,1,5,1,1,4,,,4,2,,1704,1,2,2,2,1,0,0,0,0,0,0,2,1,0,0,0,,1,9,1,3,0,2,1,1,2,,1,1,2,1,2,3,1,1,1,1,1,0,1,1,1,1,4,2,3,2,4,2023-06-14,4,1
9480,17,17,1788,1,1788,1782,1782084,37,1,103,2023,2023,1,1,64,2,2,2,1,2,4,4,1,6,,2,,2,2,2,4,2,1,1,,7,3,4,1,1,1,7,1,7,4,5,1,7,5,6,5,5,3,3,1,2,1,5,7,7,7,7,1,2,2,1,7,1,4,2,10,,6,1,1,10,10,10,10,,,2,0,0,1,5,3,,3,,,4,,1,1702,1,1712,3,5,3,1,2,0,0,0,0,0,0,0,1,0,0,2,2,2,,,,,,,,,2,1,1,1,0,1,1,1,0,0,3,,3,,1,1,2,3,,,1,4,4,8,,2,1,,,2,,1,,2,2,3,77,3,6,,,3,2,,1714,2,,,,,,,,,,,4,2,0,0,0,,2,2,0,,27,1,1,1,5,,1,1,1,2,4,2,1,1,1,0,1,1,1,1,1,0,1,0,1,2,3,2023-06-15,4,1
1028,17,17,1788,1,1788,1782,1782084,37,1,103,2023,2023,1,1,34,4,3,1,3,3,4,4,3,1,1,,2,,1,4,4,2,1,2,,4,4,3,1,2,1,5,3,3,5,3,1,4,5,7,3,3,3,4,4,2,1,3,5,7,5,5,6,2,2,1,4,1,4,3,1,3,,1,1,1,6,3,1,,,3,0,0,1,5,3,4,,,3,,,1,1702,2,,3,5,3,2,,0,0,0,0,0,0,0,0,0,1,1,1,2,,,,,,,,,2,0,1,1,1,0,1,1,0,1,2,3,,2,,1,2,3,1,4,1,4,4,,1,2,4,,,,,2,1,1,2,2,4,3,3,,,4,2,,1702,2,,,,,,,,,,,1,2,0,0,1,2,1,3,0,,0,1,2,1,2,,1,1,1,1,3,2,1,1,1,0,1,1,1,1,0,1,4,0,3,2,3,2023-06-15,4,1
7156,17,17,1788,1,1788,1782,1782084,36,1,231,2023,2023,1,2,27,2,3,3,4,3,4,4,,5,2,,2,,1,4,4,3,3,,1,1,3,7,1,3,1,5,1,1,1,1,1,1,1,1,4,4,3,3,4,2,1,4,7,4,1,5,6,2,2,2,4,1,3,3,5,5,,1,1,10,10,,,10,10,4,0,0,1,4,2,4,,,4,,,1,1701,1,1705,2,1,2,2,,1,0,0,0,0,0,0,0,0,0,,,,,,,2,2,2,,,2,0,1,1,1,0,1,1,0,0,3,,3,,3,1,3,2,,3,3,4,4,,5,2,1,,,2,,1,,1,1,4,1,4,2,5,2,4,2,,1704,1,4,1,2,0,1,0,0,1,0,0,4,2,1,,0,,5,2,1,1,20,1,2,1,1,2,1,1,1,1,4,2,1,1,1,0,1,0,1,1,1,1,1,0,2,2,3,2023-06-27,4,1
6913,17,17,1788,1,1788,1782,1782084,37,1,103,2023,2023,1,2,81,1,3,3,3,3,4,4,3,2,,,,,1,4,1,3,3,,,6,1,2,3,1,1,1,1,1,6,1,1,1,1,3,2,4,3,3,2,2,1,1,2,2,2,1,6,1,1,2,3,4,4,3,1,1,,2,1,1,2,9,1,,,4,0,0,1,5,2,5,,,1,,,2,,2,,4,4,1,2,,0,1,0,0,0,0,0,0,1,0,,,,,,,2,2,2,,,2,1,0,1,0,0,1,1,0,0,2,,3,,2,2,3,2,,,,4,4,,,2,2,1,1,,,,,2,2,2,1,2,6,,,4,2,,1706,2,,,,,,,,,,,3,2,0,0,0,,6,1,0,,21,1,2,2,,,2,2,4,4,4,1,1,1,1,1,1,0,0,1,1,1,1,2,4,2,3,2023-06-14,4,1
3693,17,17,1788,1,1788,1782,1782084,36,1,231,2023,2023,1,1,61,1,2,1,1,5,1,4,2,5,,2,,2,1,3,2,1,3,2,,4,4,7,7,7,7,7,7,4,7,1,4,2,4,3,7,2,4,4,1,2,1,1,7,7,2,7,6,2,2,1,1,1,3,3,10,,10,1,5,10,10,,,10,10,4,0,0,1,,3,,,3,,,4,1,1701,1,1702,1,4,2,2,,0,0,0,1,0,0,0,0,0,0,,,,,,,1,1,1,,,2,1,1,0,0,1,0,1,1,0,4,1,,3,,1,3,3,1,1,4,4,4,,7,2,3,,2,,2,,,2,2,5,1,1,1,3,2,4,2,,1715,2,,,,,,,,,,,3,1,0,0,0,,2,3,0,,24,2,1,1,1,2,1,1,1,2,4,2,1,1,1,0,1,1,1,1,1,1,4,0,1,2,3,2023-07-01,4,1
9251,17,17,1788,1,1788,1782,1782084,36,1,231,2023,2023,1,2,53,2,3,3,4,3,4,4,3,5,,,2,,1,3,4,3,1,,2,3,1,2,1,1,1,3,2,3,7,1,1,1,1,3,1,3,4,3,,2,5,5,7,4,1,1,5,2,2,2,1,1,4,3,5,,5,3,2,8,10,6,8,,,,0,0,4,5,1,,4,,,4,,1,,2,,4,5,4,2,,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,1,1,2,0,1,0,0,0,0,1,0,0,3,3,,2,,1,3,3,,,,3,4,8,,2,1,,1,,,2,,2,2,3,1,1,1,,2,4,2,,,2,,,,,,,,,,,4,2,0,1,0,,5,3,0,,18,2,3,2,,,2,2,4,3,4,3,1,1,1,0,1,0,0,1,1,1,3,0,3,2,3,2023-06-27,4,1
1558,17,17,1788,1,1788,1782,1782084,36,1,231,2023,2023,1,1,17,1,3,2,3,3,4,4,2,5,2,,1,,1,4,2,3,1,1,,5,3,7,5,4,4,3,3,1,1,2,2,4,2,3,4,3,3,2,1,2,2,1,5,3,4,5,1,1,1,2,4,1,2,3,10,10,,7,7,10,10,10,10,,,,0,0,2,4,2,,,1,,,4,2,,2,,4,5,1,2,,1,0,0,0,0,0,0,0,0,0,2,2,2,,,,,,,,,2,1,0,0,1,1,1,1,1,0,3,1,,,3,1,3,3,,3,2,4,4,,1,1,1,,1,,,1,,2,2,4,1,3,1,5,1,4,2,,1711,1,4,1,2,1,1,1,1,0,0,0,3,2,0,0,0,,3,2,0,,0,1,2,1,1,2,1,1,1,1,1,2,1,1,1,0,1,0,0,1,1,0,1,0,4,2,3,2023-07-01,4,1
4939,17,17,1799,1,1799,1706,1706805,71,1,112,2023,2023,1,1,64,77,3,3,2,4,4,4,3,5,2,,,2,2,3,3,1,3,1,,3,1,3,1,1,2,7,3,2,1,1,2,1,1,2,2,3,3,4,1,1,2,1,3,7,7,3,1,1,1,1,3,1,3,3,1,,4,1,1,8,1,,,7,8,3,0,0,3,4,1,,,1,,,4,1,,2,,3,1,3,2,,1,0,0,0,0,0,0,0,0,0,,,,,,,2,1,1,,,2,0,1,0,0,0,0,0,0,0,3,,3,2,,2,3,3,3,3,3,4,4,,8,2,3,,1,,,,2,2,2,4,5,1,2,9,2,4,2,,1703,2,,,,,,,,,,,3,2,0,0,0,,6,4,0,,25,1,2,2,,,2,2,2,3,3,3,1,1,0,1,1,0,1,1,0,1,1,0,2,2,2,2023-07-08,4,1
5581,17,17,1799,1,1799,1702,1702084,24,1,199,2023,2023,1,1,43,77,1,2,1,3,4,4,2,3,,2,,2,2,3,4,1,3,,2,3,1,4,4,4,4,1,1,1,1,4,4,1,1,1,5,3,3,4,3,2,1,1,7,7,1,6,6,2,2,1,3,2,2,2,10,10,,6,6,10,10,10,10,,,5,0,0,1,3,2,,,1,,,4,2,,1,1701,1,5,2,2,,,,,,,,,,,,,,,,,,,,1,,,1,0,0,0,0,0,0,1,0,0,4,,3,4,,1,3,3,,,,4,4,10,,2,3,1,,,,2,,2,2,6,1,4,1,2,1,4,2,,1715,2,,,,,,,,,,,4,2,0,0,0,,3,4,2,1,36,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,0,3,2,2,2023-06-27,4,1
